,column_name,file,freq_item
194,CANDMI,kwmq-dbub.tsv.gz,PythonRDD[2033] at RDD at PythonRDD.scala:53
195,COMPARABLE_RENTAL_____1_____Building_Classification,dvzp-h4k9.tsv.gz,[0]
196,BOROUGH,6ypq-ih9a.tsv.gz,PythonRDD[2034] at RDD at PythonRDD.scala:53
197,ACCOUNT_CITY,p2d7-vcsb.tsv.gz,PythonRDD[2035] at RDD at PythonRDD.scala:53
198,DBA,2v9c-2k7f.tsv.gz,PythonRDD[2036] at RDD at PythonRDD.scala:53
199,Landmark,erm2-nwe9.tsv.gz,PythonRDD[2037] at RDD at PythonRDD.scala:53
200,APPLICANT_FIRST_NAME,dm9a-ab7w.tsv.gz,[0]
201,Borough,72ss-25qh.tsv.gz,PythonRDD[2038] at RDD at PythonRDD.scala:53
202,org_neighborhood,qpm9-j523.tsv.gz,[0]
203,CORE_COURSE__MS_CORE_and_9_12_ONLY_,6wcu-cfa3.tsv.gz,[0]
204,Address_1,nfkx-wd79.tsv.gz,PythonRDD[2039] at RDD at PythonRDD.scala:53
205,Agency,jzdn-258f.tsv.gz,PythonRDD[2040] at RDD at PythonRDD.scala:53
206,Vehicle_Color,kiv2-tbus.tsv.gz,PythonRDD[2041] at RDD at PythonRDD.scala:53
207,Filing_Representative_First_Name,w9ak-ipjd.tsv.gz,PythonRDD[2042] at RDD at PythonRDD.scala:53
208,BROOKLYN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,irhv-jqz7.tsv.gz,[0]
209,Street_Address_1_,m3fi-rt3k.tsv.gz,PythonRDD[2043] at RDD at PythonRDD.scala:53
210,Owner_s_House_City,ipu4-2q9a.tsv.gz,[0]
211,org_website,qpm9-j523.tsv.gz,[0]
212,Lat_Lon,qgea-i56i.tsv.gz,[0]
213,Website,jvce-szsb.tsv.gz,PythonRDD[2044] at RDD at PythonRDD.scala:53
214,CORE_COURSE__MS_CORE_and_9_12_ONLY_,d3ge-anaz.tsv.gz,[0]
215,phone,kiyv-ks3f.tsv.gz,PythonRDD[2045] at RDD at PythonRDD.scala:53
216,Agency,qe6k-pu9t.tsv.gz,PythonRDD[2046] at RDD at PythonRDD.scala:53
217,School_Name,5e7x-8jy6.tsv.gz,PythonRDD[2047] at RDD at PythonRDD.scala:53
218,SCHOOL,xne4-4v8f.tsv.gz,PythonRDD[2048] at RDD at PythonRDD.scala:53
219,Provider_First_Name,7btz-mnc8.tsv.gz,PythonRDD[2049] at RDD at PythonRDD.scala:53
220,interest1,uq7m-95z8.tsv.gz,PythonRDD[2050] at RDD at PythonRDD.scala:53
221,Location1,n5mv-nfpy.tsv.gz,PythonRDD[2051] at RDD at PythonRDD.scala:53
222,CORE_SUBJECT,8i43-kna8.tsv.gz,PythonRDD[2052] at RDD at PythonRDD.scala:53
223,Telephone_Number,eccv-9dzr.tsv.gz,PythonRDD[2053] at RDD at PythonRDD.scala:53
224,SCHOOL_LEVEL_,4n2j-ut8i.tsv.gz,[0]
225,STREET_NAME,dm9a-ab7w.tsv.gz,[0]
226,Vehicle_Make,2bnn-yakx.tsv.gz,PythonRDD[2054] at RDD at PythonRDD.scala:53
227,Vehicle_Color,2bnn-yakx.tsv.gz,PythonRDD[2055] at RDD at PythonRDD.scala:53
228,Vehicle_Body_Type,2bnn-yakx.tsv.gz,PythonRDD[2056] at RDD at PythonRDD.scala:53
229,Vehicle_Color,jt7v-77mi.tsv.gz,PythonRDD[2057] at RDD at PythonRDD.scala:53
230,Owner_s_House_Zip_Code,bty7-2jhb.tsv.gz,[0]
231,SCHOOL_LEVEL_,cvh6-nmyi.tsv.gz,[0]
232,CORE_SUBJECT__MS_CORE_and_9_12_ONLY_,7yds-6i8e.tsv.gz,[0]
233,NeighborhoodName,ajxm-kzmj.tsv.gz,PythonRDD[2058] at RDD at PythonRDD.scala:53
234,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,3aka-ggej.tsv.gz,[0]
235,RESPONDENT_ZIP,6bgk-3dad.tsv.gz,[0]
236,Location_1,fbaw-uq4e.tsv.gz,PythonRDD[2059] at RDD at PythonRDD.scala:53
237,MANHATTAN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,jxyc-rxiv.tsv.gz,[0]
238,BRONX_CONDOMINIUM_PROPERTY_Building_Classification,n2s5-fumm.tsv.gz,PythonRDD[2060] at RDD at PythonRDD.scala:53
239,DVV_MAKE,bjuu-44hx.tsv.gz,[0]
240,Street_Name,uzcy-9puk.tsv.gz,PythonRDD[2061] at RDD at PythonRDD.scala:53
241,interest1,s3k6-pzi2.tsv.gz,PythonRDD[2062] at RDD at PythonRDD.scala:53
242,Principal_phone_number,wg9x-4ke6.tsv.gz,[0]
243,Borough,vhah-kvpj.tsv.gz,PythonRDD[2063] at RDD at PythonRDD.scala:53
244,AUTH_REP_FIRST_NAME,dm9a-ab7w.tsv.gz,[0]
245,Street_Name,3rfa-3xsf.tsv.gz,PythonRDD[2064] at RDD at PythonRDD.scala:53
246,Phone_Number,urzf-q2g5.tsv.gz,PythonRDD[2065] at RDD at PythonRDD.scala:53
247,Agency,him9-7gri.tsv.gz,PythonRDD[2066] at RDD at PythonRDD.scala:53
248,Cross_Street_2,3rfa-3xsf.tsv.gz,PythonRDD[2067] at RDD at PythonRDD.scala:53
249,CallerZipCode,mu46-p9is.tsv.gz,PythonRDD[2068] at RDD at PythonRDD.scala:53
250,STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood,a5qt-5jpu.tsv.gz,PythonRDD[2069] at RDD at PythonRDD.scala:53
251,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,ytjm-yias.tsv.gz,[0]
252,Park_Facility_Name,sxmw-f24h.tsv.gz,PythonRDD[2070] at RDD at PythonRDD.scala:53
253,Agency,vuae-w6cg.tsv.gz,PythonRDD[2071] at RDD at PythonRDD.scala:53
254,BORO,qusa-igsv.tsv.gz,PythonRDD[2072] at RDD at PythonRDD.scala:53
255,Borough,5tdj-xqd5.tsv.gz,PythonRDD[2073] at RDD at PythonRDD.scala:53
256,Vehicle_Make,2bnn-yakx.tsv.gz,PythonRDD[2074] at RDD at PythonRDD.scala:53
257,Business_Phone_Number,t8hj-ruu2.tsv.gz,PythonRDD[2075] at RDD at PythonRDD.scala:53
258,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,ajgi-hpq9.tsv.gz,[0]
259,Agency,jhjm-vsp8.tsv.gz,PythonRDD[2076] at RDD at PythonRDD.scala:53
260,Property_Address,4nft-bihw.tsv.gz,PythonRDD[2077] at RDD at PythonRDD.scala:53
261,SCHOOL_LEVEL_,6je4-4x7e.tsv.gz,[0]
262,Vehicle_Make,c284-tqph.tsv.gz,PythonRDD[2078] at RDD at PythonRDD.scala:53
263,owner_zip,dpm2-m9mq.tsv.gz,[0]
